"cat","medcodeid","aurumterm","disease_num","score","term"
"Congestive heart failure","300179017","decompensated cardiac failure",3,2,"Decompensated cardiac failure"
"Congestive heart failure","504901000006118","benign hypertensive heart disease with ccf",3,2,"Benign hypertensive heart disease with congestive cardiac failure"
"Congestive heart failure","216207010","left ventricular systolic dysfunction",3,2,"Left ventricular systolic dysfunction"
"Congestive heart failure","2549208013","admit heart failure emergency",3,2,"Emergency hospital admission for heart failure"
"Congestive heart failure","1561941000006119","excepted heart failure quality indicators: patient unsuitabl",3,2,"Excepted from heart failure quality indicators - patient unsuitable"
"Congestive heart failure","510016018","biventricular failure",3,2,"Biventricular congestive heart failure"
"Congestive heart failure","206703015","right heart failure",3,2,"Right heart failure"
"Congestive heart failure","493287011","congestive cardiac failure",3,2,"Congestive cardiac failure"
"Congestive heart failure","1489358014","left ventricular diastolic dysfunction",3,2,"Left ventricular diastolic dysfunction"
"Congestive heart failure","303861000000118","did not attend practice nurse heart failure clinic",3,2,"Did not attend practice nurse heart failure clinic"
"Congestive heart failure","311561000000117","referred to heart failure education group",3,2,"Referred to heart failure education group"
"Congestive heart failure","6978012","diastolic dysfunction",3,2,"Diastolic dysfunction"
"Congestive heart failure","72934016","rheumatic left ventricular failure",3,2,"Rheumatic left ventricular failure"
"Congestive heart failure","412678013","neonatal cardiac failure",3,2,"Neonatal cardiac failure"
"Congestive heart failure","396391011","cardiac portal cirrhosis",3,2,"Cardiac portal cirrhosis"
"Congestive heart failure","1734081000000112","referral to heart failure exercise programme declined",3,2,"Referral to heart failure exercise programme declined"
"Congestive heart failure","316833010","congenital cardiac failure",3,2,"Congenital cardiac failure"
"Congestive heart failure","300190010","acute left ventricular failure",3,2,"Acute left ventricular failure"
"Congestive heart failure","308231000000118","heart failure monitoring administration",3,2,"Heart failure monitoring administration"
"Congestive heart failure","789941000006117","hyperten heart&renal dis+both(congestv)heart and renal fail",3,2,"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"
"Congestive heart failure","1661371000000112","hfnef - heart failure with normal ejection fraction",3,2,"HFNEF - heart failure with normal ejection fraction"
"Congestive heart failure","139481017","weak heart",3,2,"Weak heart"
"Congestive heart failure","1647701000000118","heart failure with normal ejection fraction",3,2,"Heart failure with normal ejection fraction"
"Congestive heart failure","451426015","cardiac failure therapy",3,2,"Cardiac failure therapy"
"Dementia","297015017","cerebral degeneration due to neoplastic disease",5,2,"Cerebral degeneration due to neoplastic disease"
"Dementia","45046017","alzheimer's disease",5,2,"Alzheimer's disease"
"Dementia","299641000000112","[x]lewy body dementia",5,2,"Diffuse Lewy body disease"
"Dementia","294111000000119","exception reporting: dementia quality indicators",5,2,"Exception reporting - dementia quality indicators"
"Dementia","542661000006112","cerebral degeneration due to multifocal leucoencephalopathy",5,2,"Cerebral degeneration due to progressive multifocal leucoencephalopathy"
"Dementia","148381000006115","senile/presenile dementia",5,2,"Senile/presenile dementia"
"Dementia","295690011","[x]dementia in other specified diseases classif elsewhere",5,2,"[X]Dementia in other specified diseases classif elsewhere"
"Dementia","294642013","presenile dementia with depression",5,2,"Presenile dementia with depression"
"Dementia","295672010","[x]dementia in alzheimer's disease, unspecified",5,2,"[X]Dementia in Alzheimer's disease, unspecified"
"Dementia","408501000000115","dementia monitoring telephone invite",5,2,"Dementia monitoring telephone invitation"
"Dementia","35741000006114","other cerebral degeneration",5,2,"Other cerebral degeneration"
"Dementia","294646011","senile dementia with depression",5,2,"Senile dementia with depression"
"Dementia","295713019","[x]delirium not superimposed on dementia, so described",5,2,"[X]Delirium not superimposed on dementia, so described"
"Dementia","295671015","[x]dementia in alzheimer's dis, atypical or mixed type",5,2,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
"Dementia","294638010","presenile dementia with delirium",5,2,"Presenile dementia with delirium"
"Dementia","399031000006111","[x]multi-infarct dementia",5,2,"[X]Multi-infarct dementia"
"Dementia","376531000006119","[x]dementia in alzheimer's disease with early onset",5,2,"Dementia in Alzheimer's disease with early onset"
"Dementia","401760017","other alcoholic dementia",5,2,"Other alcoholic dementia"
"Dementia","294652012","uncomplicated arteriosclerotic dementia",5,2,"Uncomplicated arteriosclerotic dementia"
"Dementia","612761000006118","dementia assessment",5,2,"Dementia assessment"
"Dementia","929501000006112","global deterioration scale: assessment of prim deg dementia",5,2,"GDS (Global Deterioration Scale) level"
"Dementia","423221000006117","[x]predominantly cortical dementia",5,2,"[X]Predominantly cortical dementia"
"Dementia","745381000006119","lewy body disease",5,2,"Lewy body disease"
"Dementia","2248021000000110","dementia care plan",5,2,"Dementia care plan"
"Dementia","251194016","alzheimer's disease society member",5,2,"Alzheimer's disease society member"
"Dementia","294688019","drug-induced dementia",5,2,"Drug-induced dementia"
"Dementia","294648012","senile dementia with delirium",5,2,"Senile dementia with delirium"
"Dementia","636681000000117","cerebral degeneration in parkinson's disease",5,2,"Cerebral degeneration in Parkinson's disease"
"Dementia","399393010","cerebral degeneration nos",5,2,"Cerebral degeneration"
"Dementia","359101000006114","[x] primary degenerative dementia nos",5,2,"Cerebral degeneration presenting primarily with dementia"
"Dementia","295688010","[x]dementia in parkinson's disease",5,2,"Dementia in Parkinsons disease"
"Dementia","294641018","presenile dementia with paranoia",5,2,"Presenile dementia with paranoia"
"Dementia","22408016","pick's disease",5,2,"Pick's disease"
"Dementia","294718018","dementia in conditions ec",5,2,"Dementia in conditions EC"
"Dementia","407461000000119","dementia monitoring",5,2,"Dementia monitoring"
"Dementia","408481000000112","dementia monitoring verbal invite",5,2,"Dementia monitoring verbal invitation"
"Dementia","2386018","jakob-creutzfeldt disease",5,2,"Jakob-Creutzfeldt disease"
"Dementia","431691000006119","[x]vascular dementia of acute onset",5,2,"Vascular dementia of acute onset"
"Dementia","296958010","cerebral degenerations usually manifest in childhood",5,2,"Cerebral degeneration in childhood"
"Dementia","363031000006111","[x]alzheimer's disease type 1",5,2,"[X]Alzheimer's disease type 1"
"Dementia","294643015","presenile dementia nos",5,2,"Presenile dementia NOS"
"Dementia","542611000006114","cerebral degeneration due to alcoholism",5,2,"Cerebral degeneration due to alcoholism"
"Dementia","370961000006119","[x]chronic alcoholic brain syndrome",5,2,"[X]Chronic alcoholic brain syndrome"
"Dementia","999961000006114","excepted from dementia quality indicators: patient unsuitabl",5,2,"Excepted from dementia quality indicators - patient unsuitable"
"Dementia","497559016","arteriosclerotic dementia",5,2,"Arteriosclerotic dementia"
"Dementia","295668011","[x]dementia in alzheimer's disease",5,2,"[X]Dementia in Alzheimer's disease"
"Dementia","296994014","cerebral degeneration in hunter's disease",5,2,"Cerebral degeneration in Hunter's disease"
"Dementia","295680015","[x]other vascular dementia",5,2,"[X]Other vascular dementia"
"Dementia","408461000000115","dementia monitoring third letter",5,2,"Dementia monitoring third letter"
"Dementia","408421000000111","dementia monitoring second letter",5,2,"Dementia monitoring second letter"
"Dementia","542651000006110","cerebral degeneration due to jakob - creutzfeldt disease",5,2,"Cerebral degeneration due to Jakob - Creutzfeldt disease"
"Dementia","294644014","senile dementia with depressive or paranoid features",5,2,"Senile dementia with depressive or paranoid features"
"Dementia","428201000006119","[x]subcortical vascular dementia",5,2,"Subcortical vascular dementia"
"Dementia","294647019","senile dementia with depressive or paranoid features nos",5,2,"Senile dementia with depressive or paranoid features NOS"
"Dementia","2221421000000114","referral to dementia service",5,2,"Referral to dementia service"
"Dementia","294653019","arteriosclerotic dementia with delirium",5,2,"Arteriosclerotic dementia with delirium"
"Dementia","295714013","[x]delirium superimposed on dementia",5,2,"[X]Delirium superimposed on dementia"
"Dementia","294645010","senile dementia with paranoia",5,2,"Senile dementia with paranoia"
"Dementia","2127581000000115","suspected dementia",5,2,"Suspected dementia"
"Dementia","294655014","arteriosclerotic dementia with depression",5,2,"Arteriosclerotic dementia with depression"
"Dementia","294668018","chronic alcoholic brain syndrome",5,2,"Chronic alcoholic brain syndrome"
"Dementia","296996011","cerebral degeneration in disease nos",5,2,"Cerebral degeneration in disease NOS"
"Dementia","499946014","alzheimer's disease with early onset",5,2,"Alzheimer's disease with early onset"
"Dementia","359241000006119","[x] unspecified dementia",5,2,"Dementia"
"Dementia","696161000006115","multi infarct dementia",5,2,"Multi-infarct dementia"
"Dementia","500317011","alzheimer's disease with late onset",5,2,"Alzheimer's disease with late onset"
"Dementia","294637017","uncomplicated presenile dementia",5,2,"Uncomplicated presenile dementia"
"Dementia","26545010","senile dementia",5,2,"Senile dementia"
"Dementia","21256010","presenile dementia",5,2,"Presenile dementia"
"Dementia","299325013","[x]other alzheimer's disease",5,2,"[X]Other Alzheimer's disease"
"Dementia","294635013","uncomplicated senile dementia",5,2,"Uncomplicated senile dementia"
"Dementia","295685013","[x]dementia in pick's disease",5,2,"Dementia due to Pick's disease"
"Dementia","359141000006111","[x] senile dementia nos",5,2,"[X] Senile dementia NOS"
"Dementia","542671000006117","cerebral degeneration due to myxoedema",5,2,"Cerebral degeneration due to myxoedema"
"Dementia","297022013","cerebral degeneration other disease nos",5,2,"Cerebral degeneration other disease NOS"
"Dementia","76484016","senile degeneration of brain",5,2,"Senile degeneration of brain"
"Dementia","294654013","arteriosclerotic dementia with paranoia",5,2,"Arteriosclerotic dementia with paranoia"
"Dementia","294656010","arteriosclerotic dementia nos",5,2,"Arteriosclerotic dementia NOS"
"Dementia","296993015","cerebral degeneration in diseases ec",5,2,"Cerebral degeneration in diseases EC"
"Dementia","363791000006112","[x]arteriosclerotic dementia",5,2,"[X]Arteriosclerotic dementia"
"Dementia","346929012","alcoholic dementia nos",5,2,"Alcoholic dementia"
"Dementia","359151000006113","[x] senile dementia, depressed or paranoid type",5,2,"[X] Senile dementia, depressed or paranoid type"
"Dementia","423351000006115","[x]presenile dementia,alzheimer's type",5,2,"[X]Presenile dementia,Alzheimer's type"
"Dementia","295681016","[x]vascular dementia, unspecified",5,2,"[X]Vascular dementia, unspecified"
"Dementia","423381000006111","[x]primary degen dementia of alzheimer's type, senile onset",5,2,"[X]Primary degen dementia of Alzheimer's type, senile onset"
"Dementia","423391000006114","[x]primary degen dementia, alzheimer's type, presenile onset",5,2,"[X]Primary degen dementia, Alzheimer's type, presenile onset"
"Dementia","425901000006116","[x]senile dementia,alzheimer's type",5,2,"[X]Senile dementia,Alzheimer's type"
"Dementia","542781000006113","cerebral degeneration in other disease ec",5,2,"Cerebral degeneration associated with another disorder"
"Dementia","362941000006113","[x]alcoholic dementia nos",5,2,"[X]Alcoholic dementia NOS"
"Dementia","295687017","[x]dementia in huntington's disease",5,2,"Dementia due to Huntington chorea"
"Dementia","363041000006118","[x]alzheimer's disease type 2",5,2,"[X]Alzheimer's disease type 2"
"Dementia","295686014","[x]dementia in creutzfeldt-jakob disease",5,2,"Dementia due to Creutzfeldt Jakob disease"
"Dementia","408361000000111","dementia monitoring first letter",5,2,"Dementia monitoring first letter"
"Dementia","257073011","dementia test",5,2,"Dementia test"
"Dementia","297000018","other cerebral degenerations",5,2,"Degenerative brain disorder"
"Dementia","363021000006113","[x]alzheimer's dementia unspec",5,2,"[X]Alzheimer's dementia unspec"
"Dementia","296991018","cerebral degeneration in niemann-pick disease",5,2,"Cerebral degeneration in Niemann-Pick disease"
"Dementia","376631000006115","[x]dementia infantalis",5,2,"[X]Dementia infantalis"
"Dementia","398571000006112","[x]mixed cortical and subcortical vascular dementia",5,2,"Mixed cortical and subcortical vascular dementia"
"Dementia","2290431000000110","antipsychotic drug therapy for dementia",5,2,"Antipsychotic drug therapy for dementia"
"Dementia","431681000006117","[x]vascular dementia",5,2,"Vascular dementia"
"Dementia","359081000006118","[x] presenile dementia nos",5,2,"[X] Presenile dementia NOS"
"Dementia","376541000006112","[x]dementia in alzheimer's disease with late onset",5,2,"Dementia in Alzheimer's disease with late onset"
"Dementia","297018015","cerebral degeneration due to vitamin b12 deficiency",5,2,"Cerebral degeneration due to vitamin B12 deficiency"
"Dementia","294321000000111","excepted from dementia quality indicators: informed dissent",5,2,"Excepted from dementia quality indicators - informed dissent"
"Dementia","295684012","[x]dementia in other diseases classified elsewhere",5,2,"Dementia associated with another disease"
"Dementia","297025010","other cerebral degeneration nos",5,2,"Other cerebral degeneration NOS"
"Dementia","406841000000115","dementia monitoring administration",5,2,"Dementia monitoring administration"
"Dementia","1785381000000118","referral to dementia care advisor",5,2,"Referral to dementia care advisor"
"Dementia","408401000000119","dementia annual review",5,2,"Dementia annual review"
"Diabetes (uncomplicated)","1488441010","diabetes medication review",6,0,"Diabetes medication review"
"Diabetes (uncomplicated)","259365016","glucose tol. test diabetic",6,0,"Glucose tolerance test indicates diabetes mellitus"
"Diabetes (uncomplicated)","264717015","diabetic - cooperative patient",6,0,"Diabetic - cooperative patient"
"Diabetes (uncomplicated)","457327017","insulin-dependent diabetes without complication",6,0,"Insulin-dependent diabetes without complication"
"Diabetes (uncomplicated)","2159960011","diabetic retinopathy screening not indicated",6,0,"Diabetic retinopathy screening not indicated"
"Diabetes (uncomplicated)","928611000006115","type ii diabetes mellitus with ketoacidotic coma",6,0,"Ketoacidotic coma in type II diabetes mellitus"
"Diabetes (uncomplicated)","746791000006111","insulin-dependent diabetes without complication",6,0,"Insulin-dependent diabetes without complication"
"Diabetes (uncomplicated)","21631000000117","diabetes monitoring admin.",6,0,"Diabetes monitoring administration"
"Diabetes (uncomplicated)","25261000000111","diabetes clinic administration",6,0,"Diabetes clinic administration"
"Diabetes (uncomplicated)","292478012","other specified diabetes mellitus with ketoacidosis",6,0,"Other specified diabetes mellitus with ketoacidosis"
"Diabetes (uncomplicated)","2622193012","diabetes mellitus with ketoacidosis",6,0,"Diabetes mellitus with ketoacidosis"
"Diabetes (uncomplicated)","546871000000112","referral to dafne diabetes structured education programme",6,0,"Referral to DAFNE diabetes structured education programme"
"Diabetes (uncomplicated)","292484010","diabetes mellitus nos with hyperosmolar coma",6,0,"Hyperosmolar coma associated with diabetes mellitus"
"Diabetes (uncomplicated)","84471000006119","type 2 diabetes mellitus",6,0,"Type 2 diabetes mellitus"
"Diabetes (uncomplicated)","1667891000000113","hyperosmolar non-ketotic state in type ii diabetes mellitus",6,0,"Hyperosmolar non-ketotic state in type II diabetes mellitus"
"Diabetes (uncomplicated)","2116661000000116","referral to community diabetes service",6,0,"Referral to community diabetes service"
"Diabetes (uncomplicated)","15518018","secondary diabetes mellitus",6,0,"Secondary diabetes mellitus"
"Diabetes (uncomplicated)","216201011","diabetic retinopathy screening",6,0,"Diabetic retinopathy screening"
"Diabetes (uncomplicated)","772171000006114","insulin dependent diabetes mellitus",6,0,"Insulin dependent diabetes mellitus"
"Diabetes (uncomplicated)","85011000006119","type ii diabetes mellitus without complication",6,0,"Type II diabetes mellitus without complication"
"Diabetes (uncomplicated)","2160025013","diabetic medicine",6,0,"Diabetic medicine"
"Diabetes (uncomplicated)","616571000006118","diabetes mellitus, adult, + other specified manifestation",6,0,"Diabetes mellitus, adult, + other specified manifestation"
"Diabetes (uncomplicated)","546471000000114","diabetes structured education programme declined",6,0,"Diabetes structured education programme declined"
"Diabetes (uncomplicated)","216195015","diabetes care by hospital only",6,0,"Diabetes care by hospital only"
"Diabetes (uncomplicated)","737331000000117","excluded from diabetic retinopathy screening",6,0,"Excluded from diabetic retinopathy screening"
"Diabetes (uncomplicated)","264681018","diabetic on oral treatment",6,0,"Diabetic on oral treatment"
"Diabetes (uncomplicated)","2156571000000116","provision of diabetes clinical summary",6,0,"Provision of diabetes clinical summary"
"Diabetes (uncomplicated)","928511000006116","type i diabetes mellitus with ketoacidosis",6,0,"Type I diabetes mellitus with ketoacidosis"
"Diabetes (uncomplicated)","736791000000117","excluded from diabetic retinopathy screening as deceased",6,0,"Excluded from diabetic retinopathy screening as deceased"
"Diabetes (uncomplicated)","84641000006112","type 2 diabetes mellitus without complication",6,0,"Type 2 diabetes mellitus without complication"
"Diabetes (uncomplicated)","283584016","non-urgent diabetic admission",6,0,"Non-urgent diabetic admission"
"Diabetes (uncomplicated)","2115761000000117","diabetes self-management plan review",6,0,"Diabetes self-management plan review"
"Diabetes (uncomplicated)","616691000006118","diabetes monitor. check done",6,0,"Diabetes monitoring check done"
"Diabetes (uncomplicated)","84341000006119","type 1 diabetes mellitus with hypoglycaemic coma",6,0,"Type 1 diabetes mellitus with hypoglycaemic coma"
"Diabetes (uncomplicated)","84851000006110","type ii diabetes mellitus - poor control",6,0,"Type II diabetes mellitus - poor control"
"Diabetes (uncomplicated)","1780286017","diabetic peripheral neuropathy screening",6,0,"Diabetic peripheral neuropathy screening"
"Diabetes (uncomplicated)","1627291000006113","did not complete desmond diabetes structured educat program",6,0,"Did not complete DESMOND diabetes structured education programme"
"Diabetes (uncomplicated)","448261010","seen by diabetic liaison nurse",6,0,"Seen by diabetic liaison nurse"
"Diabetes (uncomplicated)","493773010","niddm - non-insulin dependent diabetes mellitus",6,0,"NIDDM - Non-insulin dependent diabetes mellitus"
"Diabetes (uncomplicated)","292475010","diabetes mellitus nos with no mention of complication",6,0,"Diabetes mellitus NOS with no mention of complication"
"Diabetes (uncomplicated)","282570016","diabetic stabilisation",6,0,"Diabetic stabilisation"
"Diabetes (uncomplicated)","264693010","has seen dietician - diabetes",6,0,"Has seen dietician - diabetes"
"Diabetes (uncomplicated)","264726017","diabetes management plan given",6,0,"Diabetes management plan given"
"Diabetes (uncomplicated)","285751016","attends diabetes monitoring",6,0,"Attends diabetes monitoring"
"Diabetes (uncomplicated)","1484888013","o/e - diabetic maculopathy absent both eyes",6,0,"O/E - diabetic maculopathy absent both eyes"
"Diabetes (uncomplicated)","2159956013","under care of diabetes specialist nurse",6,0,"Under care of diabetes specialist nurse"
"Diabetes (uncomplicated)","306114012","pre-existing malnutrition-related diabetes mellitus",6,0,"Pre-existing malnutrition-related diabetes mellitus"
"Diabetes (uncomplicated)","736911000000111","excluded from diabetic retinopathy screening as blind",6,0,"Excluded from diabetic retinopathy screening as blind"
"Diabetes (uncomplicated)","2288041000000110","type 1 diabetes mellitus in remission",6,0,"Type 1 diabetes mellitus in remission"
"Diabetes (uncomplicated)","458512016","diabetic on insulin and oral treatment",6,0,"Diabetic on insulin and oral treatment"
"Diabetes (uncomplicated)","2279261000000115","education about diabetes and driving",6,0,"Education about diabetes and driving"
"Diabetes (uncomplicated)","1488398016","o/e - left diabetic foot at high risk",6,0,"O/E - Left diabetic foot at high risk"
"Diabetes (uncomplicated)","1164191000000111","education in self management of diabetes",6,0,"Education about self management of diabetes"
"Diabetes (uncomplicated)","1884591000006118","further diabetic monitoring",6,0,"Further diabetic monitoring"
"Diabetes (uncomplicated)","73466011","non-insulin dependent diabetes mellitus",6,0,"Non-insulin dependent diabetes mellitus"
"Diabetes (uncomplicated)","72721000006113","unstable type i diabetes mellitus",6,0,"Unstable type I diabetes mellitus"
"Diabetes (uncomplicated)","2533110014","referral to diabetes structured education programme",6,0,"Referral to diabetes structured education programme"
"Diabetes (uncomplicated)","772161000006119","insulin dependent diabetes mellitus",6,0,"Insulin dependent diabetes mellitus"
"Diabetes (uncomplicated)","548121000000116","did not attend dafne diabetes structured education programme",6,0,"Did not attend DAFNE diabetes structured education programme"
"Diabetes (uncomplicated)","1752811000000118","no evidence of diabetic nephropathy",6,0,"No evidence of diabetic nephropathy"
"Diabetes (uncomplicated)","1484923019","refer to diabetic foot screener",6,0,"Refer to diabetic foot screener"
"Diabetes (uncomplicated)","264727014","diabetic annual review",6,0,"Diabetic annual review"
"Diabetes (uncomplicated)","1484883016","o/e - no right diabetic retinopathy",6,0,"O/E - no right diabetic retinopathy"
"Diabetes (uncomplicated)","84671000006116","type i diabetes mellitus maturity onset",6,0,"Type I diabetes mellitus maturity onset"
"Diabetes (uncomplicated)","616621000006115","diabetes mellitus, juvenile type, no mention of complication",6,0,"Type 1 diabetes mellitus without complication"
"Diabetes (uncomplicated)","771361000006113","insulin dependent diabetes mellitus with hypoglycaemic coma",6,0,"Insulin dependent diabetes mellitus with hypoglycaemic coma"
"Diabetes (uncomplicated)","913711000006112","insulin dependent diabetes maturity onset",6,0,"Insulin dependent diabetes maturity onset"
"Diabetes (uncomplicated)","494831000000119","cystic fibrosis related diabetes mellitus",6,0,"Diabetes mellitus associated with cystic fibrosis"
"Diabetes (uncomplicated)","2159961010","diabetic foot examination not indicated",6,0,"Diabetic foot examination not indicated"
"Diabetes (uncomplicated)","264728016","annual diabetic blood test",6,0,"Annual diabetic blood test"
"Diabetes (uncomplicated)","109871000006113","test request : haemoglobin a1c",6,0,"Test request : Haemoglobin A1c"
"Diabetes (uncomplicated)","546001000000113","attended xpert diabetes structured education programme",6,0,"Attended XPERT diabetes structured education programme"
"Diabetes (uncomplicated)","292590011","type 2 diabetes mellitus - poor control",6,0,"Type II diabetes mellitus poorly controlled"
"Diabetes (uncomplicated)","292553010","type 1 diabetes mellitus maturity onset",6,0,"Type 1 diabetes mellitus maturity onset"
"Diabetes (uncomplicated)","1665751000000119","type 1 diabetic dietary review",6,0,"Type 1 diabetic dietary review"
"Diabetes (uncomplicated)","967701000006116","lipoatrophic diabetes mellitus",6,0,"Lipoatrophic diabetes mellitus"
"Diabetes (uncomplicated)","616741000006116","diabetes monitoring 2nd letter",6,0,"Diabetes monitoring second letter"
"Diabetes (uncomplicated)","2533107019","patient diabetes education review",6,0,"Patient diabetes education review"
"Diabetes (uncomplicated)","63041000000111","diabetic diet - poor compliance",6,0,"Poor compliance with diabetic diet"
"Diabetes (uncomplicated)","840951000006119","insulin treated type 2 diabetes mellitus",6,0,"Insulin treated Type 2 diabetes mellitus"
"Diabetes (uncomplicated)","84891000006116","type ii diabetes mellitus with hypoglycaemic coma",6,0,"Type II diabetes mellitus with hypoglycaemic coma"
"Diabetes (uncomplicated)","2227861000000112","diabetic foot screening invitation first letter",6,0,"Diabetic foot screening invitation first letter"
"Diabetes (uncomplicated)","292551012","type i diabetes mellitus maturity onset",6,0,"Type I diabetes mellitus maturity onset"
"Diabetes (uncomplicated)","1704731000006113","excluded diabetc retinop screen as under care ophthalmolgist",6,0,"Excluded from diabetic retinopathy screening as under care of ophthalmologist"
"Diabetes (uncomplicated)","2474334019","diabetes clinical management plan",6,0,"Diabetes clinical management plan"
"Diabetes (uncomplicated)","546071000000117","attended dafne diabetes structured education programme",6,0,"Attended DAFNE diabetes structured education programme"
"Diabetes (uncomplicated)","264723013","diabetes: practice programme",6,0,"Diabetes: practice programme"
"Diabetes (uncomplicated)","77727018","insulin dependent diabetes mellitus",6,0,"Insulin dependent diabetes mellitus"
"Diabetes (uncomplicated)","330806013","adverse reaction to insulins and antidiabetic agents nos",6,0,"Adverse reaction to insulins and antidiabetic agents NOS"
"Diabetes (uncomplicated)","457231013","seen in diabetic eye clinic",6,0,"Seen in diabetic eye clinic"
"Diabetes (uncomplicated)","139001000000110","exception reporting: diabetes quality indicators",6,0,"Exception reporting - diabetes quality indicators"
"Diabetes (uncomplicated)","405057014","diabetes monitored",6,0,"Diabetes monitored"
"Diabetes (uncomplicated)","692951000000111","diabetic foot screen",6,0,"Diabetic foot screen"
"Diabetes (uncomplicated)","285753018","diabetes monitoring default",6,0,"Diabetes monitoring default"
"Diabetes (uncomplicated)","616241000006112","diabetes mellitus induced by steroids",6,0,"Diabetes mellitus induced by steroids"
"Diabetes (uncomplicated)","2549069011","seen in community diabetes specialist clinic",6,0,"Seen in community diabetes specialist clinic"
"Diabetes (uncomplicated)","457325013","type i diabetes mellitus without complication",6,0,"Type I diabetes mellitus without complication"
"Diabetes (uncomplicated)","2474309019","diabetic foot examination declined",6,0,"Diabetic foot examination declined"
"Diabetes (uncomplicated)","1628311000006111","did not complete xpert diabetes structured education program",6,0,"Did not complete XPERT diabetes structured education programme"
"Diabetes (uncomplicated)","283938017","diabetology d.v. done",6,0,"Diabetology D.V. done"
"Diabetes (uncomplicated)","931191000006110","excepted from diabetes qual indicators: patient unsuitable",6,0,"Excepted from diabetes quality indicators - patient unsuitable"
"Diabetes (uncomplicated)","2693189019","health education - diabetes",6,0,"Health education - diabetes"
"Diabetes (uncomplicated)","264676010","diabetic monitoring",6,0,"Diabetic monitoring"
"Diabetes (uncomplicated)","547191000000117","did not attend diabetes structured education programme",6,0,"Did not attend diabetes structured education programme"
"Diabetes (uncomplicated)","406351000000114","referral for diabetic retinopathy screening",6,0,"Referral for diabetic retinopathy screening"
"Diabetes (uncomplicated)","127041000006110","steroid induced diabetes",6,0,"Steroid-induced diabetes"
"Diabetes (uncomplicated)","547441000000118","did not complete dafne diabetes structured education program",6,0,"Did not complete DAFNE diabetes structured education program"
"Diabetes (uncomplicated)","250447011","diabetic diet",6,0,"Diabetic diet"
"Diabetes (uncomplicated)","1704681000006115","eligibility temporarily inactive for diabetic retinop screen",6,0,"Eligibility temporarily inactive for diabetic retinopathy screening"
"Diabetes (uncomplicated)","1734281000000117","diabetic erectile dysfunction review",6,0,"Diabetic erectile dysfunction review"
"Diabetes (uncomplicated)","306113018","pre-existing diabetes mellitus, non-insulin-dependent",6,0,"Pre-existing diabetes mellitus, non-insulin-dependent"
"Diabetes (uncomplicated)","285752011","refuses diabetes monitoring",6,0,"Refuses diabetes monitoring"
"Diabetes (uncomplicated)","928521000006112","type 1 diabetes mellitus with ketoacidotic coma",6,0,"Ketoacidotic coma in type 1 diabetes mellitus"
"Diabetes (uncomplicated)","84291000006117","type 1 diabetes mellitus - poor control",6,0,"Type 1 diabetes mellitus - poor control"
"Diabetes (uncomplicated)","547331000000115","did not complete diabetes structured education programme",6,0,"Did not complete diabetes structured education programme"
"Diabetes (uncomplicated)","616511000006110","diabetes mellitus, adult onset, no mention of complication",6,0,"Diabetes mellitus, adult onset, no mention of complication"
"Diabetes (uncomplicated)","223291000000111","maturity onset diabetes",6,0,"Maturity onset diabetes"
"Diabetes (uncomplicated)","1704781000006114","excluded frm diabetic retinopathy screen as terminal illness",6,0,"Excluded from diabetic retinopathy screening as terminal illness"
"Diabetes (uncomplicated)","2533102013","attended diabetes structured education programme",6,0,"Attended diabetes structured education programme"
"Diabetes (uncomplicated)","2287971000000119","diabetes mellitus in remission",6,0,"Diabetes mellitus in remission"
"Diabetes (uncomplicated)","264724019","diabetes: shared care programme",6,0,"Diabetes: shared care programme"
"Diabetes (uncomplicated)","1227774019","[v]dietary counselling in diabetes mellitus",6,0,"[V]Dietary counselling in diabetes mellitus"
"Diabetes (uncomplicated)","354671000006113","[x] adverse reaction to insulins and antidiabetic agents nos",6,0,"[X] Adverse reaction to insulins and antidiabetic agents NOS"
"Diabetes (uncomplicated)","1488393013","o/e - right diabetic foot at low risk",6,0,"O/E - Right diabetic foot at low risk"
"Diabetes (uncomplicated)","285223014","seen in diabetic clinic",6,0,"Seen in diabetic clinic"
"Diabetes (uncomplicated)","459694018","diabetic lipid lowering diet",6,0,"Diabetic lipid lowering diet"
"Diabetes (uncomplicated)","2159854012","diabetes key contact",6,0,"Diabetes key contact"
"Diabetes (uncomplicated)","283974014","listed for diabetology admissn",6,0,"Listed for Diabetology admission"
"Diabetes (uncomplicated)","616751000006119","diabetes monitoring 3rd letter",6,0,"Diabetes monitoring third letter"
"Diabetes (uncomplicated)","548131000000119","did not attend xpert diabetes structured education programme",6,0,"Did not attend XPERT diabetes structured education programme"
"Diabetes (uncomplicated)","292548017","type 1 diabetes mellitus - poor control",6,0,"Type 1 diabetes mellitus - poor control"
"Diabetes (uncomplicated)","283027015","diabetic leaflet given",6,0,"Diabetic leaflet given"
"Diabetes (uncomplicated)","2262381000000117","conversion to insulin by diabetes specialist nurse",6,0,"Conversion to insulin by diabetes specialist nurse"
"Diabetes (uncomplicated)","264705017","diabetic treatment changed",6,0,"Diabetic treatment changed"
"Diabetes (uncomplicated)","1780386019","diabetic foot examination",6,0,"Diabetic foot examination"
"Diabetes (uncomplicated)","284124018","private referral to diabetologist",6,0,"Private referral to diabetologist"
